cluster_number,ikc_mcount,ikc_size,ikc_perc,aoc_m_mcount,aoc_m_size,aoc_m_perc,aoc_k_mcount,aoc_k_size,aoc_k_perc
1,24,36305,2.4,49,37469,4.8,211,98219,20.7
2,39,12451,3.8,44,12463,4.3,140,51553,13.7
3,167,170413,16.4,434,190427,42.5,733,265681,71.8
4,416,214877,40.7,951,293509,93.1,966,316185,94.6
5,1,10678,0.1,5,12419,0.5,14,14658,1.4
6,9,7207,0.9,9,7284,0.9,58,20893,5.7
7,0,2795,0,0,3406,0,0,3469,0
8,0,3406,0,0,3579,0,4,4422,0.4
9,2,4497,0.2,3,4583,0.3,12,8599,1.2
10,0,406,0,0,485,0,1,736,0.1
11,0,1684,0,0,1752,0,4,3234,0.4
12,3,20076,0.3,6,20335,0.6,40,55113,3.9
13,1,3419,0.1,3,3597,0.3,9,4731,0.9
14,0,124,0,0,124,0,1,450,0.1
15,0,9289,0,2,12942,0.2,2,12942,0.2
16,11,7528,1.1,20,8790,2,37,11093,3.6
17,0,206,0,0,219,0,0,230,0
18,0,2004,0,0,2004,0,18,15623,1.8
19,0,2460,0,0,2489,0,3,5954,0.3
20,18,5478,1.8,76,6220,7.4,152,8509,14.9
21,1,2553,0.1,1,2595,0.1,3,4961,0.3
22,0,408,0,0,408,0,2,1004,0.2
23,0,2343,0,0,2606,0,2,3035,0.2
24,6,2575,0.6,15,2690,1.5,52,6350,5.1
25,310,1869,30.4,310,1871,30.4,710,9241,69.5
26,0,133,0,0,138,0,0,182,0
27,0,125,0,0,136,0,0,156,0
28,0,96,0,0,96,0,0,113,0
29,0,421,0,0,426,0,0,923,0
30,1,470,0.1,1,484,0.1,1,1082,0.1
31,0,40,0,0,47,0,0,47,0
32,0,517,0,0,678,0,0,695,0
33,0,135,0,0,139,0,0,189,0
34,0,237,0,0,239,0,3,612,0.3
35,0,210,0,0,210,0,0,920,0
36,0,84,0,0,85,0,0,86,0
37,11,276,1.1,12,278,1.2,28,1344,2.7
38,0,250,0,0,251,0,0,284,0
39,0,251,0,0,313,0,0,332,0
40,0,248,0,0,256,0,0,568,0
41,0,79,0,0,80,0,0,123,0
42,0,38,0,0,40,0,0,41,0
43,0,80,0,0,80,0,0,83,0
44,0,49,0,0,49,0,0,49,0
45,0,37,0,0,37,0,0,37,0
46,0,234,0,0,272,0,0,304,0
47,0,47,0,0,48,0,0,48,0
48,0,99,0,0,101,0,0,139,0
49,0,103,0,0,105,0,0,140,0
50,0,312,0,0,325,0,1,396,0.1
51,0,181,0,0,182,0,0,193,0
52,0,28,0,0,31,0,0,31,0
53,0,561,0,0,562,0,1,1217,0.1
54,0,18,0,0,18,0,0,18,0
55,0,128,0,0,129,0,0,155,0
56,0,44,0,0,44,0,0,44,0
57,0,100,0,0,109,0,0,109,0
58,0,138,0,0,138,0,0,165,0
59,0,73,0,0,73,0,0,93,0
60,0,37,0,0,37,0,0,37,0
61,0,21,0,0,21,0,0,21,0
62,0,72,0,0,86,0,0,87,0
63,0,245,0,0,245,0,0,901,0
64,0,53,0,0,73,0,0,75,0
65,0,41,0,0,42,0,0,42,0
66,1,144,0.1,1,144,0.1,3,512,0.3
67,0,23,0,0,31,0,0,31,0
68,0,106,0,0,110,0,0,144,0
69,0,244,0,0,244,0,0,259,0
70,0,45,0,0,48,0,0,48,0
71,0,96,0,0,111,0,0,116,0
72,0,37,0,0,40,0,0,40,0
73,0,31,0,0,32,0,0,33,0
74,0,151,0,0,162,0,0,253,0
75,0,26,0,0,30,0,0,30,0
76,0,315,0,0,318,0,0,700,0
77,0,147,0,0,147,0,0,524,0
78,0,169,0,0,170,0,0,474,0
79,0,46,0,0,56,0,0,66,0
